symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,price_position,risk_score,analysis_timestamp
005930,삼성전자,9,0,F,13.0,79700.0,95.2076677316294,6,2025-09-20 18:34:21
000660,SK하이닉스,6,0,F,22.61,353000.0,96.7487227124942,10,2025-09-20 18:34:21
373220,LG에너지솔루션,4,0,F,13.015,349500.0,46.91011235955056,5,2025-09-20 18:34:21
207940,삼성바이오로직스,3,0,C+,46.21,1024000.0,38.741721854304636,4,2025-09-20 18:34:21
012450,한화에어로스페이스,19,0,F,8.0,1022000.0,96.16368286445012,7,2025-09-20 18:34:21
105560,KB금융,25,0,D,27.0,116500.0,82.37347294938918,1,2025-09-20 18:34:21
005380,현대차,11,0,D,32.75,214000.0,45.91346153846153,2,2025-09-20 18:34:21
329180,HD현대중공업,7,0,F,21.0,493000.0,88.52772466539197,6,2025-09-20 18:34:21
000270,기아,11,0,C+,52.71,101600.0,63.63636363636363,0,2025-09-20 18:34:21
068270,셀트리온,5,0,C,39.99,170800.0,33.663366336633665,3,2025-09-20 18:34:21
