symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,analysis_timestamp
005930,삼성전자,4,0,A+,48.0,78200.0,2025-09-17 19:28:50
000660,SK하이닉스,3,0,A+,63.0,333500.0,2025-09-17 19:28:50
373220,LG에너지솔루션,4,0,B,22.625,350000.0,2025-09-17 19:28:50
207940,삼성바이오로직스,3,0,A+,56.0,1020000.0,2025-09-17 19:28:50
012450,한화에어로스페이스,19,0,A+,45.0,1030000.0,2025-09-17 19:28:50
105560,KB금융,25,0,A+,37.0,118300.0,2025-09-17 19:28:50
329180,HD현대중공업,7,0,A+,49.0,506000.0,2025-09-17 19:28:50
005380,현대차,10,0,A+,40.75,216000.0,2025-09-17 19:28:50
000270,기아,12,0,A+,47.5,101000.0,2025-09-17 19:28:50
068270,셀트리온,6,0,A+,47.0,168400.0,2025-09-17 19:28:50
034020,두산에너빌리티,11,0,A,32.75,61300.0,2025-09-17 19:28:50
035420,NAVER,19,0,A+,52.0,233500.0,2025-09-17 19:28:50
055550,신한지주,29,0,A+,36.75,69700.0,2025-09-17 19:28:50
042660,한화오션,24,0,A+,46.5,113000.0,2025-09-17 19:28:50
028260,삼성물산,8,0,A+,41.0,193000.0,2025-09-17 19:28:50
032830,삼성생명,3,0,A+,39.0,155200.0,2025-09-17 19:28:50
009540,HD한국조선해양,3,0,A+,47.0,416000.0,2025-09-17 19:28:50
012330,현대모비스,21,0,A+,46.0,311000.0,2025-09-17 19:28:50
035720,카카오,31,0,A+,37.75,62500.0,2025-09-17 19:28:50
402340,SK스퀘어,3,0,A+,53.0,200500.0,2025-09-17 19:28:50
086790,하나금융지주,28,0,A,33.75,90000.0,2025-09-17 19:28:50
011200,HMM,13,0,A+,43.5,23500.0,2025-09-17 19:28:50
015760,한국전력,17,0,A+,39.5,36750.0,2025-09-17 19:28:50
064350,현대로템,17,0,A+,57.0,211500.0,2025-09-17 19:28:50
005490,POSCO홀딩스,11,0,A+,35.0,283500.0,2025-09-17 19:28:50
138040,메리츠금융지주,2,0,A+,36.0,122900.0,2025-09-17 19:28:50
000810,삼성화재,17,0,A+,36.75,449000.0,2025-09-17 19:28:50
267260,HD현대일렉트릭,15,0,A+,55.0,588000.0,2025-09-17 19:28:50
010130,고려아연,6,0,A+,42.625,1013000.0,2025-09-17 19:28:50
