symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,analysis_timestamp
005930,삼성전자,0,0,B+,28.0,78200.0,2025-09-17 17:31:19
000660,SK하이닉스,0,0,A+,42.97,333500.0,2025-09-17 17:31:19
373220,LG에너지솔루션,0,0,C,13.0,350000.0,2025-09-17 17:31:19
207940,삼성바이오로직스,0,0,A+,36.01,1020000.0,2025-09-17 17:31:19
012450,한화에어로스페이스,0,0,B+,26.0,1030000.0,2025-09-17 17:31:19
105560,KB금융,0,0,C+,17.0,118300.0,2025-09-17 17:31:19
329180,HD현대중공업,0,0,B+,29.0,506000.0,2025-09-17 17:31:19
005380,현대차,0,0,B,22.0,216000.0,2025-09-17 17:31:19
000270,기아,0,0,A,30.009999999999998,101000.0,2025-09-17 17:31:19
068270,셀트리온,0,0,B+,27.0,168400.0,2025-09-17 17:31:19
034020,두산에너빌리티,0,0,C+,15.0,61300.0,2025-09-17 17:31:19
035420,NAVER,0,0,A,31.97,233500.0,2025-09-17 17:31:19
055550,신한지주,0,0,C+,18.0,69700.0,2025-09-17 17:31:19
042660,한화오션,0,0,B+,29.0,113000.0,2025-09-17 17:31:19
028260,삼성물산,0,0,B,21.009999999999998,193000.0,2025-09-17 17:31:19
032830,삼성생명,0,0,C+,19.0,155200.0,2025-09-17 17:31:19
009540,HD한국조선해양,0,0,B+,27.0,416000.0,2025-09-17 17:31:19
012330,현대모비스,0,0,B+,25.97,311000.0,2025-09-17 17:31:19
035720,카카오,0,0,C+,18.98,62500.0,2025-09-17 17:31:19
402340,SK스퀘어,0,0,A,33.0,200500.0,2025-09-17 17:31:19
086790,하나금융지주,0,0,C+,15.0,90000.0,2025-09-17 17:31:19
011200,HMM,0,0,A,31.0,23500.0,2025-09-17 17:31:19
015760,한국전력,0,0,B,22.0,36750.0,2025-09-17 17:31:19
064350,현대로템,0,0,A+,37.0,211500.0,2025-09-17 17:31:19
005490,POSCO홀딩스,0,0,C,14.01,283500.0,2025-09-17 17:31:19
138040,메리츠금융지주,0,0,C+,16.0,122900.0,2025-09-17 17:31:19
000810,삼성화재,0,0,B,23.0,449000.0,2025-09-17 17:31:19
267260,HD현대일렉트릭,0,0,A+,35.0,588000.0,2025-09-17 17:31:19
010130,고려아연,0,0,A,30.98,1013000.0,2025-09-17 17:31:19
051910,LG화학,0,0,C,11.0,292000.0,2025-09-17 17:31:19
