symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,price_position,risk_score,analysis_timestamp
005930,삼성전자,8,0,F,23.0,79700.0,95.2076677316294,3,2025-09-19 19:07:11
000660,SK하이닉스,6,0,F,22.61,353000.0,96.7487227124942,8,2025-09-19 19:07:11
373220,LG에너지솔루션,4,0,F,13.015,349500.0,46.91011235955056,5,2025-09-19 19:07:11
207940,삼성바이오로직스,3,0,C+,46.21,1024000.0,38.741721854304636,4,2025-09-19 19:07:11
012450,한화에어로스페이스,19,0,F,8.0,1022000.0,96.16368286445012,7,2025-09-19 19:07:11
105560,KB금융,25,0,D,27.0,116500.0,82.37347294938918,1,2025-09-19 19:07:11
005380,현대차,10,0,C,42.75,214000.0,45.91346153846153,0,2025-09-19 19:07:11
329180,HD현대중공업,7,0,F,21.0,493000.0,88.52772466539197,6,2025-09-19 19:07:11
000270,기아,11,0,C+,52.71,101600.0,63.63636363636363,0,2025-09-19 19:07:11
068270,셀트리온,5,0,C,39.99,170800.0,33.663366336633665,3,2025-09-19 19:07:11
034020,두산에너빌리티,11,0,F,20.14,60800.0,79.38144329896907,7,2025-09-19 19:07:11
035420,NAVER,20,0,C+,45.59,234000.0,54.981549815498155,2,2025-09-19 19:07:11
042660,한화오션,24,0,F,19.490000000000002,111700.0,87.61514841351075,6,2025-09-19 19:07:11
055550,신한지주,29,0,D,31.75,69800.0,88.06451612903226,0,2025-09-19 19:07:11
028260,삼성물산,8,0,F,11.21,196400.0,96.8201754385965,4,2025-09-19 19:07:11
032830,삼성생명,14,0,F,21.5,153400.0,84.6723044397463,2,2025-09-19 19:07:11
009540,HD한국조선해양,3,0,D,26.39,407500.0,88.38095238095238,4,2025-09-19 19:07:11
012330,현대모비스,21,0,C,41.6,308000.0,83.47826086956522,0,2025-09-19 19:07:11
035720,카카오,3,0,F,19.810000000000002,67000.0,88.2202304737516,4,2025-09-19 19:07:11
402340,SK스퀘어,5,0,D,28.0,216500.0,100.0,3,2025-09-19 19:07:11
