symbol,name,opinion_count,quality_score,enhanced_grade,enhanced_score,current_price,analysis_timestamp
005930,삼성전자,6,0,C+,47.0,79900.0,2025-09-18 11:53:13
000660,SK하이닉스,5,0,B+,63.406666666666666,352250.0,2025-09-18 11:53:13
373220,LG에너지솔루션,4,0,D,26.426666666666666,352500.0,2025-09-18 11:53:13
207940,삼성바이오로직스,3,0,B,59.14,1027000.0,2025-09-18 11:53:13
012450,한화에어로스페이스,19,0,B,50.33333333333333,1022000.0,2025-09-18 11:53:13
105560,KB금융,0,0,F,19.666666666666664,116200.0,2025-09-18 11:53:13
329180,HD현대중공업,7,0,C+,49.666666666666664,509000.0,2025-09-18 11:53:13
005380,현대차,10,0,C+,40.0,216250.0,2025-09-18 11:53:13
000270,기아,12,0,C+,46.47333333333333,101400.0,2025-09-18 11:53:13
068270,셀트리온,5,0,C+,48.99333333333333,168800.0,2025-09-18 11:53:13
034020,두산에너빌리티,11,0,C+,48.26,61100.0,2025-09-18 11:53:13
035420,NAVER,19,0,B,52.72666666666667,235500.0,2025-09-18 11:53:13
055550,신한지주,29,0,C,39.33333333333333,68700.0,2025-09-18 11:53:13
042660,한화오션,24,0,B,50.99333333333333,111800.0,2025-09-18 11:53:13
028260,삼성물산,8,0,C,39.806666666666665,195800.0,2025-09-18 11:53:13
032830,삼성생명,14,0,C+,43.0,153500.0,2025-09-18 11:53:13
009540,HD한국조선해양,3,0,C+,49.92666666666666,413000.0,2025-09-18 11:53:13
012330,현대모비스,21,0,C+,46.06666666666666,310500.0,2025-09-18 11:53:13
035720,카카오,31,0,C,37.873333333333335,64400.0,2025-09-18 11:53:13
402340,SK스퀘어,5,0,C+,43.666666666666664,207000.0,2025-09-18 11:53:13
086790,하나금융지주,28,0,C,34.666666666666664,89600.0,2025-09-18 11:53:13
011200,HMM,13,0,C+,43.0,23050.0,2025-09-18 11:53:13
015760,한국전력,3,0,C+,41.0,36000.0,2025-09-18 11:53:13
064350,현대로템,17,0,B,59.26,210500.0,2025-09-18 11:53:13
005490,POSCO홀딩스,11,0,C,35.14,284000.0,2025-09-18 11:53:13
138040,메리츠금융지주,3,0,C,32.33333333333333,121900.0,2025-09-18 11:53:13
000810,삼성화재,17,0,C+,42.666666666666664,451000.0,2025-09-18 11:53:13
267260,HD현대일렉트릭,15,0,B,55.26,596000.0,2025-09-18 11:53:13
010130,고려아연,6,0,C+,48.82666666666667,956000.0,2025-09-18 11:53:13
051910,LG화학,18,0,C,30.593333333333334,300000.0,2025-09-18 11:53:13
